Image,Prompt,Category,Prompt_Chinese
120c53ed3f666fca36f4ff65c2fb95c8.JPEG,"On the ground in front of a forest were 8 people in suits divided into 2 rows. There are three people sitting on the sofa in the front row. The first person on the left has his left leg crossed, his right hand is resting on the armrest of the sofa, and his left arm is placed on his crossed leg. The second person put his hands in the middle of his knees and crossed his feet. The third person had his right leg crossed, his left arm on the armrest, and his hand on his knee. There are 5 people standing behind. The first person on the left is holding his right hand, the second person is facing his left side, the third person is wearing glasses, the fourth person's head is slightly tilted to the right, and the fifth person is wearing a black top and white pants. .",Human,在一片树林前面的地上有8个穿着西装的人分成2排。前面一排是3个人坐在沙发上，左边第一个人翘着左腿，右手搭在沙发扶手上，左胳膊放在翘起来的腿上。第二个人两只手放在膝盖的中间，两只脚交叉放着。第三个人翘着右腿，左胳膊在扶手上，手放膝盖上。后面站着5个人，左边的第一人是右手握着，第二个人面向了他的左侧，第三个人带着眼镜，第四个人头微微偏向右边，第5个人穿着黑色上衣，白色裤子。
2654952a832718de476882cf4249d469.JPEG,"The ground is very old. There is a boy standing on the ground. He has short hair and a high nose. He is wearing a blue and white plaid coat. His right hand is on the pillar and his right hand is in his pocket. His left leg was resting on the steps. He looked sideways at the front. There was a light on the steps. The colors of the lights were white and pink. There were pillars next to the steps. The pillars were also lit. There was a red building next to the steps. There is a house on the roadside. Various patterns are painted on the outside of the house. Next to the house are two girls, wearing clothes of different colors and with different heights. Behind the house are also painted human patterns. The human patterns are all Not the same, the color is also different.",Human,地面里非常的旧，地面上站着男孩，头发短短的，鼻梁高高的，身上穿着蓝色，白色的格子的外套，他的右手扶在柱子上，他右手放在口袋里，他的左腿搭在台阶上，他侧着脸看着前方，在台阶亮着灯，灯的颜色有白色，有粉色，台阶的旁边有柱子，柱子也亮着灯，台阶旁边有个红色的建筑物，路边上有座房子，房子外面画着各样的图案，房子旁边有两个女孩，穿着不同颜色的衣服，身高也不同，在房子的后面也画着人的图案，人的图案都不相同，颜色也不同。
80e3bff439c2f2560404814ade5e2d54.JPEG,"There are ten people standing on the shore, three of them have a camera stand in front of them. One of the three men was wearing a blue short-sleeved shirt and helmet, and was carrying a black schoolbag. There is another person wearing a hat and carrying a black bag. Next to him stands a person carrying a black schoolbag, wearing striped short-sleeves and black pants. He is holding an object with his hands in front of his eyes. To his right stood a boy wearing a white coat and carrying a black schoolbag and a girl wearing a white coat with her hair disheveled. There is a tree on either side of the group. The distant scenery reflected on the water includes a pointed tower and tall buildings. The water also reflects the green trees on the shore in the distance. There is sunset in the distant sky.",Human,岸边站着十个人，其中有三个人的前面各有一个相机架。这三个人中有一个穿着蓝色的短袖、戴着头盔，背着黑色的书包。还有一个戴着帽子，挎着黑色的包，他身边站着一个背着黑色书包，穿着条纹短袖、黑色裤子，双手放在眼前正举着一个物件。在他的右手边站着一个穿白色外套、背着黑色书包的男生和一个穿着白色外套、披散着头发的女生。这群人两边各有一棵树。水面上倒映的远处的风景，有一个尖尖的高塔，还有一栋栋高楼，水面还倒映着远处岸上绿油油的树。远处的天空还有晚霞。
7a093aa6d545276337e0aa836f55cc73.JPEG,"Three people wearing white hats are sitting on the stone road. Two people are wearing gray-green coats and black trousers. One of them is holding the brim of his hat with his hand, and the other has a frame next to him with a blue cloth on it. Bag. There is another person wearing a pink top and black skirt. There were a light blue thermos bottle and a pink thermos bottle in front of the three of them. The cap of the pink thermos bottle was placed on the ground. Next to them lay a white plastic bag and a woolen backpack with a folded robe on it. Behind is a horse pulling a frame cart, with a gray-white piece of cloth placed on the frame cart, and a white bag full of things placed at the horse's feet. The walls are made of reddish brown stone.",Human,三个戴着白色帽子的人坐在石板路上，有两个人穿着灰绿色的外套和黑色的裤子，其中一个用手扶着帽檐，另外一个身边放着一个框子，框子上有一个蓝色的布包。还有一个人穿着粉色的上衣和黑色的裙子。他们三个人面前放着一个浅蓝色的暖瓶和一个粉色的暖瓶，粉色暖瓶的盖子放在地上。他们旁边放着一个白色塑料袋，和一个毛线编制的背包，背包上放着一件叠好的袍子。后面是一匹马拉着一辆架子车，架子车上放着一个灰白色的布片，马的脚下放着一个白色的装满东西的袋子。墙壁是红褐色的石头砌成的。
fccc8ab094a54f049fee8372e2f7933f.JPEG,"On the ground made of stone bricks, there are eight people wearing different hats and different clothes. Among them, the first person from the left from top to bottom is wearing a plaid short shirt and black trousers and is sitting on his knees on the ground. The second person is wearing The person in white long trousers is sitting on the ground and looking at the third person. The third person is wearing brown long trousers and white trousers, reaching out to touch a kitten lying on the ground. The first person on the right is wearing short-sleeved jeans and is kneeling on the ground. , the second person wearing white long trousers kneeled on the ground, the third person similarly, the fourth person wearing a gray shirt and the fifth person wearing a striped shirt all sat and turned their heads to look behind.",Human,在由石砖砌成地面上，有八个戴着不同帽子衣着各不相同的人，其中左侧从上往下第一个人穿着格子短衬，黑色裤子跪坐在地上，第二个人穿白色长衣长裤坐在地上看向第三个人，第三个人穿着棕色长衣白色长裤，伸手摸着一只躺在地上的小猫，右侧第一个人穿着短袖牛仔裤跪拜在地上，第二个穿着白色长衣长裤的跪坐在地上第三个同样，第四个穿着灰衬衫和第五个穿着条纹衬衫的人都坐着转头看向了后面。
53adf9f799fa491b3cd75591990aae76.JPEG,"The steps are very long and steep. They are old and have cracks on them. The colors of the steps are dark blue, sky blue, white, light green, yellow, and red. There is a grass growing in the middle of the steps. It is a very long guardrail. The colors of the pillars and the upper railings are different. There are people on both sides of the guardrail. People are wearing clothes of different colors. Some people are walking and some are sitting there. There are green plants and leaves beside the people. It is very green, the walls are yellow and blue, and there are black characters on the wall. There is a person at the top of the steps. Behind the person is a house. The door of the house is brown, and there is a sign on the wall of the house.",Human,台阶很长，也很陡，台阶很旧，并且台阶上有裂痕，台阶的颜色有深蓝色，天蓝色，白色，浅绿色，黄色，红色，台阶的中间长着一棵草，台阶的中间有很长的护栏，柱子和上面的栏杆颜色都不同，在护栏的两旁有人，人穿着不同颜色的衣服，有的人在往走，人有坐在那里的，在人的旁边有绿植，叶子非常的绿，墙壁有黄色，蓝色，在墙面上有黑色的字体，在台阶的最顶处有人，人的后面是房子，房子的门是棕色，房子的墙壁上挂着牌子。
634809fde23e6f2b4b2358a0407958ed.JPEG,"On an earth-yellow textured wooden table, there is a small yellow smooth wooden tray. In the middle of the tray, there are 4 bottles side by side. On the far left is a small silver stainless steel bottle with something brown in it. , the second one on the left is a transparent glass bottle filled with red liquid, the third one is a transparent glass filled with light yellow liquid, and the far right is a transparent glass bottle filled with black liquid. Behind the wooden table stood two people wearing gray and white clothes. They both wore white masks. The person on the left wore a small yellow hat on his head. Behind them were many silver stainless steel products. Behind the person on the right was a Silver stainless steel table with a dozen white round dinner plates stacked on it",Human,在一个土黄色有纹路的木质桌子上面，放了一个黄色的光滑的木质小托盘，在托盘的正中间有4个瓶子并排放着，最左边是银色不锈钢的小瓶子，里面放了咖啡色的东西，左边第二个是透明玻璃瓶，装着红色的液体，第三个是透明的玻璃里面装了浅黄色的液体，最右边是透明的玻璃瓶装了黑色的液体。木桌的后面站着两位身穿灰白色服饰的人，他们都戴着白色的口罩，左边的人头顶戴着黄色的小帽子，他们的后面有很多银色的不锈钢制品，右边的人后面有一个银色的不锈钢桌子，上面放叠房着十几个白色圆形餐盘
992091004c4c3ef37d5d22c9269d7955.JPEG,"As night fell, there were three old ladies sitting on a small boat selling things on a river. The bows of their boats were filled with things, including fruits, food, etc. The first old woman was wearing a bamboo hat and a plaid shirt, with one hand on her knee, looking forward with a smile. The second old woman was wearing a straw hat and pink long sleeves, and there were many clothes on the bow. The third person in the food bag is younger, also wearing a straw hat and a black and white patterned dress. He puts his thumb on his mouth with one hand and thinks intently. Behind the three people is a piece of sparkling water, and an uncle wearing blue long sleeves. There are also fruits for sale on his boat. He is looking seriously into the distance.",Human,夜幕降临，一条河流上，有三位老婆婆坐在小船上售卖东西，他们的船头都放满了东西，有水果、食物等。第一位老婆婆戴着斗笠，穿着一件格子衫，一只手搭在膝盖上的，微笑的看着前方，第二位老婆婆戴着一顶草帽，穿着粉色长袖，船头放着很多装着食物的袋子，第三位比较年轻，也戴着草帽，穿着一件黑白图案的衣服，一只手大拇指按在嘴巴处，专注的思考着。三人后面是一片波光粼粼的水面，还有一位穿着蓝色长袖的大伯，他的船上也放着售卖的水果，他正在认真的看着远处。
a4142f529dd5506a83c310b09c8390d0.JPEG,"This is a beautiful view of St. Basil's Assumption Cathedral in Russia. There are 8 St. Basil's Assumption Cathedral buildings of different sizes and colors. There are some geometric shapes on the buildings, such as triangles, semicircles, rectangles, etc. Next to them There are also three human statues. There is a big green tree on the left side of the statue. In front of it is a man carrying a bag and a woman carrying a white bag holding hands and walking forward. Many tourists are here for sightseeing. At this time, the sky It is blue. In the middle of the picture is a woman with light red hair, wearing a black suspender dress. Next to her is a woman wearing a blue short-sleeved dress. She is carrying three bags of different colors and is heading towards the store. Go forward.",Human,这是在俄罗斯圣瓦西里升天大教堂的美丽景色，有8个大小颜色不一的圣瓦西里升天大教堂的建筑，建筑上有一些几何图形，比如三角形，半圆形，长方形等等.旁边还有三个人物雕像，雕像的左边有一棵绿色的大树，前面是一个背着包的男人和一个背着白色的包的女人牵着手正在往前走，很多旅客在这里观光旅游，此时天空是蓝色的，画面的中间是一个浅红色的头发的女人，穿着一件黑色的吊带衣服，她的旁边是一个穿着蓝色短袖衣服的女人，她背着三个不同颜色的包正往前走.
2442355aa140ce3ef3fd1f91b90c5ae9.JPEG,"There is a person wearing a green top hat, a gray jacket and blue jeans standing in front of the checkout counter. His right hand is in his pocket. There is a white plastic bag on his left wrist. There are several shelves of shelves with merchandise on the left; the floor is paved. Brown and white ceramic tiles; there is a chandelier on the ceiling on the right. , there is a man wearing a green top hat, a gray jacket and blue jeans standing in front of the checkout counter. His right hand is in his pocket. There is a white plastic bag on his left wrist. There are several shelves of containers with merchandise on the left; the floor It is paved with brown and white ceramic tiles; there is a chandelier on the ceiling on the right.",Human,"有位带着绿色高顶帽，穿着灰色外套蓝色牛仔裤的人站在收银台前，右手插兜，左手腕处有一个白色塑料袋，左侧有几层罗列着商品的货柜；地板铺着棕白间隔的瓷砖；右侧天花板有盏吊灯。,是有位带着绿色高顶帽，穿着灰色外套蓝色牛仔裤的人站在收银台前，右手插兜，左手腕处有一个白色塑料袋，左侧有几层罗列着商品的货柜；地板铺着棕白间隔的瓷砖；右侧天花板有盏吊灯。"
4e81ae0829baf4548cf5fc6508d8e570.JPEG,"A white building with many arches on the first floor, ten arches in total. It also has two domes and a bell tower. Both domes have pointed tops, and one dome is white. There is a dome that is green bronze. The bell tower is very high, as high as three white domes. In front of it is a small square. The square is paved with a layer of gray tiles and some black tile stripes for decoration. On the square There are many people, many people wearing white clothes and a few people wearing blue clothes. There are also a few people wearing their own casual clothes. There is a person wearing a white coat, white pants and black shoes who are talking to a person wearing a white coat. People communicating in brown coat, brown pants, white shoes",Human,一个白色的建筑物，它在一楼有很多拱门，一共有十个拱门，他还有两个圆顶和一个钟楼，两个圆顶都是尖尖的顶，有一个圆顶是白色的，有一个圆顶是绿青铜色，钟楼很高，有三个白色圆顶那么高，它前面是一个小广场，广场上铺着一层灰色的瓷砖，还有一些黑色的瓷砖条纹做装饰，广场上还有很多人，有很多穿白色衣服的人和几个穿蓝色衣服的人，还有很少的人穿着自己的便服，有一个穿白色大衣，白色裤子，黑色鞋子的人正在和一个穿棕色大衣，棕色裤子，白色鞋子的人交流
b828cb9098c1f695646c9b47f25f6be8.JPEG,"There is a square made of stone slabs with many people on it. Some of the people are walking, and some are sitting under the tower in the center of the square to rest. There are many steps at the bottom of the tower. The bottom is square, the middle is a cylinder, the top is square, and there is a human sculpture on the top of the tower. There are many buildings around him. The building on the right is a western-style castle. The walls are red, the door is white arch, there are many windows, the window frames are white, the top of the castle is a green cone, and two large clocks are placed below. . There are many buildings behind the tower. The walls of the buildings are mainly green, yellow, white and red.",Human,一个广场由石板砌成上面有许多人，人群中有的在行走，有的坐在广场中心的塔下坐着休息。塔的下方有许多阶梯，下面为四方形，中间为圆柱体，上方为四方行，塔顶有一个人形雕塑。他周围有许多建筑物，右边建筑物风格西方的城堡，墙体为红色，大门为白色拱门，有许多窗户，窗户窗框为白的，城堡顶端为绿的椎体，下方放置两个大时钟。塔的后面有许多建筑物，建筑物墙面主要有绿色、黄色、白色以及红色。
b47931c83ff71dae8be67b1e7e7206fd.JPEG,"A street. There are many people on the street. Everyone is holding an umbrella. There are two rows of buildings next to it. The signs without signs are written in Japanese. There is a man wearing a black suit jacket, white shirt, yellow pants and black leather shoes. A man is carrying a white umbrella and a bicycle next to him, looking at the sign of a street store. There are some vehicles on the road. There is a man riding a bicycle and holding an umbrella. This man is wearing a khaki coat and black pants. , riding a pink bicycle, holding a transparent umbrella, and another person without an umbrella, hurriedly walked to the roadside to avoid the rain. This person was wearing off-white clothes, carrying a black handbag, and kept Short hair white shoes",Human,一个街道，街道上有很多人，每个人都打着伞，旁边有两排建筑物，没牌的招牌上写的都是日语，有一个穿着黑色西装外套，白色衬衣，穿着黄色裤子，黑色皮鞋的人带着一把白色的雨伞，一辆自行车旁边，看街店的招牌，路上还有一些车辆，有一个人骑着一辆自行车，打着雨伞，这个人穿着土黄色的大衣，黑色的裤子，骑着粉红色的自行车，打着透明的雨伞，还有一个没有带伞的人，急匆匆的往路边走，要躲雨，这个人穿着一身米白色的衣服，提着黑色手提袋，留着短发白色鞋子
d10f2f0eb2afc571360f1d8e615fda38.JPEG,"A gorgeously decorated church. There is a cross in the middle of the church. There are eight lamps on the top. The four candles placed on the shelves at the end are not burning. The background of the table on which the cross is placed is green. There are seven white doves on the front. The table There is a pot of flowers on the left side, and a human-shaped stone sculpture on the right side. On the right side of the staircase handrail, there is a decoration carved with human figures, with Western-style royal-style decorations on it. On the right column of the church, a loudspeaker hangs. There are three windows on the floor above the cross with textured patterns of different colors. The church roof and interior have an orderly arrangement of load-bearing columns.",Human,一座装潢绚丽的教堂，教堂的中间有一个十字架，顶部有八盏灯具，尽头四个摆放在架子上的蜡烛没有燃烧，摆放十字架的桌子底布是绿色的正面有七只白色鸽子，桌子的左侧有一盆花，右侧是人形石雕，在走梯扶手的右侧，罗列着一个雕刻着人形物的装饰，装饰上面有西式皇家风格的装饰物。在教堂的右侧柱子上，悬挂有一个扬声器。在十字架上方的楼层上有三个窗户，窗户上面有不同颜色的纹理图饰，教堂屋顶和内部有有序的排列的承重柱。
361d7e2efdd0333cfdbe698485bbc320.JPEG,"I am standing on a step taking pictures. The steps are yellow. Looking from left to right, the person on the far left has black curly hair and a black coat. The person next to him is wearing a light yellow short sleeve and a black long sleeve. Next to it, there is a woman wearing a dark yellow dress, a woman wearing a black dress, a woman wearing a leopard print dress, a woman wearing an off-shoulder dress with a bow in her hair, and a light yellow dress with a ponytail. A woman with permed curly hair and a smile on her face, and a slender woman with dark skin and naturally permed hair, wearing a yellow flower on her head and a black lace hollow skirt, a total of eight people.",Human,正站在一处台阶上拍照，台阶呈黄色，从左往右看，最左侧的人有一头黑色卷发，外套是黑色的，在他旁边的人穿着一个浅黄色的短袖加上黑色长裤在它的旁边有一个穿着深黄色连衣裙的女人还有一个穿着黑色连衣裙的女人，还有穿着豹纹衣服的女人以及穿着露肩连衣裙头扎蝴蝶结的女人以及扎着马尾辫身穿浅黄色连衣裙烫着卷发笑容满面的女人，还有身材纤细，皮肤黝黑烫着自然卷发，头戴黄花身着黑色蕾丝镂空裙的女人，共八人。
